"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"/Engine/MapTemplates/Materials/BasicAsset01.BasicAsset01","21","42","8","1","260.161957","0","361"
"/Game/VRTemplate/Materials/M_Projectile.M_Projectile","21","14","1","1","0.000000","0","118"
"/Game/StarterContent/Materials/M_Basic_Wall.M_Basic_Wall","21","28","1","1","0.000000","0","353"
"/Game/AssetsvilleTown/Materials/MasterMaterials/M_BaseColor.M_BaseColor","21","76","1","1","442.047546","0","1207"
"/Engine/EngineMaterials/FlattenMaterial.FlattenMaterial","21","42","1","1","273.484497","0","403"
"/Engine/EditorMaterials/MatineeCam_mat.MatineeCam_mat","21","14","1","1","90.201279","0","88"
"/Engine/EngineMaterials/FlattenMaterial_WS_Normal_VT.FlattenMaterial_WS_Normal_VT","21","42","1","1","275.769623","0","373"
"/Engine/EngineMaterials/FlattenMaterial_VT.FlattenMaterial_VT","21","42","1","1","0.000000","0","372"
"/Engine/EngineMaterials/M_InvalidLightmapSettings.M_InvalidLightmapSettings","21","28","1","1","173.628235","0","205"
"/Engine/EngineMaterials/EmissiveMeshMaterial.EmissiveMeshMaterial","21","2","2","1","5.644129","0","3"
"/Engine/EngineMaterials/PhAT_JointLimitMaterial.PhAT_JointLimitMaterial","21","4","1","1","10.794977","0","13"
"/ControlRig/M_Manip.M_Manip","21","4","1","1","7.803789","0","13"
"/Paper2D/DefaultSpriteMaterial.DefaultSpriteMaterial","21","24","2","2","71.321701","0","134"
"/Engine/EngineDebugMaterials/M_VolumeRenderSphereTracePP.M_VolumeRenderSphereTracePP","21","2","2","1","4.292150","0","3"
"/Engine/VREditor/TransformGizmo/TransformGizmoMaterial.TransformGizmoMaterial","21","2","2","1","4.411124","0","2"
"/OpenXR/Devices/M_XRController.M_XRController","21","42","5","3","306.939941","0","239"
"/Engine/EngineMaterials/Widget3DPassThrough.Widget3DPassThrough","21","26","9","6","64.264526","0","91"
"/Engine/EngineMaterials/DefaultPostProcessMaterial.DefaultPostProcessMaterial","21","4","1","1","8.414062","0","13"
"/Engine/EngineMaterials/DefaultDeferredDecalMaterial.DefaultDeferredDecalMaterial","21","63","1","1","156.894928","0","993"
"/Engine/EngineMaterials/DefaultMaterial.DefaultMaterial","21","154","1","1","1040.142944","0","3678"
"/Engine/EngineMaterials/WorldGridMaterial.WorldGridMaterial","21","500","1","1","2826.264893","0","23998"
"/Engine/EditorMaterials/PreviewShadowIndicatorMaterial.PreviewShadowIndicatorMaterial","21","6","1","1","10.112009","0","21"
"/Engine/EngineMaterials/DefaultTextMaterialOpaque.DefaultTextMaterialOpaque","21","20","1","1","105.578957","0","157"
"/Game/StarterContent/Materials/M_Wood_Floor_Walnut_Worn.M_Wood_Floor_Walnut_Worn","21","28","2","1","194.435440","0","331"
"/Game/VRTemplate/Blueprints/ourBPs/Mini_Golf_Booster_Mat.Mini_Golf_Booster_Mat","21","14","5","1","98.402039","0","60"
"/Engine/EngineSky/M_Sky_Panning_Clouds2.M_Sky_Panning_Clouds2","21","2","2","1","5.443607","0","2"
"/Game/AssetsvilleTown/Materials/MasterMaterials/M_BaseColorPalette.M_BaseColorPalette","21","76","2","1","492.264282","0","1080"
"/Game/AssetsvilleTown/Materials/MasterMaterials/M_BaseTexture.M_BaseTexture","21","76","1","1","517.510986","0","1205"
"/Game/VRTemplate/Blueprints/ourBPs/Material_001.Material_001","21","14","1","1","0.000000","0","65"
"/Game/VRTemplate/Blueprints/ourBPs/MAT_windmillBlade.MAT_windmillBlade","21","14","3","1","0.000000","0","84"
"/Game/AssetsvilleTown/Materials/MasterMaterials/M_Plants.M_Plants","21","68","1","1","448.787231","0","1017"
"/Game/tornadoVFX/lambert1.lambert1","21","2","2","1","6.329821","0","3"
"/Engine/VREditor/SnapGrid/SnapGridMaterial.SnapGridMaterial","21","4","1","1","14.794121","0","11"
"/Engine/EngineSky/VolumetricClouds/m_SimpleVolumetricCloud.m_SimpleVolumetricCloud","21","14","1","1","46.864971","0","85"
"/MixedRealityCaptureFramework/M_MrcVideoProcessing.M_MrcVideoProcessing","21","2","2","1","7.719808","0","3"
"/Game/VRTemplate/Materials/M_TeleportNoise.M_TeleportNoise","21","6","1","1","28.486927","0","23"
"/Game/VRTemplate/Materials/M_TeleportCylinder.M_TeleportCylinder","21","6","1","1","24.271542","0","26"
"/Game/Characters/MannequinsXR/Materials/M_Mannequin.M_Mannequin","21","56","2","2","424.925720","0","464"
"/Interchange/gltf/M_Unlit.M_Unlit","21","26","9","6","63.244316","0","96"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeBillboardMaster.SpeedTreeBillboardMaster","21","40","1","1","275.110748","0","283"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeMaster.SpeedTreeMaster","21","68","1","1","493.030273","0","1030"
"/Interchange/gltf/M_SpecularGlossiness.M_SpecularGlossiness","21","98","7","6","530.866211","0","666"
"/Interchange/gltf/M_Transmission.M_Transmission","21","32","2","2","214.762604","0","249"
"/Interchange/gltf/M_Sheen.M_Sheen","21","98","8","6","654.102661","0","643"
"/Interchange/gltf/M_ClearCoat.M_ClearCoat","21","98","6","6","642.122192","0","628"
"/Interchange/gltf/M_Default.M_Default","21","98","11","6","486.013947","0","533"
